concept,original_tipus
Compromís,Compromís
Aportació,Aportació
Aportació,aportació
Aportació,Aportació capital
Aportació,Aportació Capital
Aportació,Aportació capital (abans Préstec convertible (The Umai Group))
Aportació,Aportació no capital
Ampliació capital,Ampliació capital
Ampliació capital,Ampliació Capital
Compra participacions,Compra participacions
Despeses i comissions,Brokerage Fees
Despeses i comissions,Comissió de subscripció
Despeses i comissions,Compensation Indmen.
Compensació,Compensació
Compensació,Compensació tancament
Devolució retinguda,Close Interest
Devolució retinguda,Closing Notional Interest
Devolució capital,Devol. Capital
Desinversió,Desinversió
Assessorament financer,Assessorament financer
